stage;len;k;j;j+len;zetas[k];r[j]_in;r[j+len]_in;zetas[k]_hex;r[j]_in_hex;r[j+len]_in_hex;r[j]_out;r[j+len]_out;r[j]_out_hex;r[j+len]_out_hex
3;8;22;148;156;-1602;1013;-72;0xf9be;0x3f5;0xffb8;941;-230;0x3ad;0xff1a
3;8;22;149;157;-1602;196;-514;0xf9be;0xc4;0xfdfe;-318;862;0xfec2;0x35e
3;8;22;150;158;-1602;946;649;0xf9be;0x3b2;0x289;1595;520;0x63b;0x208
3;8;22;151;159;-1602;1163;1188;0xf9be;0x48b;0x4a4;-978;-593;0xfc2e;0xfdaf
3;8;21;160;168;1458;15;-898;0x5b2;0xf;0xfc7e;-883;-1193;0xfc8d;0xfb57
3;8;21;161;169;1458;501;1235;0x5b2;0x1f5;0x4d3;-1593;1156;0xf9c7;0x484
3;8;21;162;170;1458;-220;1106;0x5b2;0xff24;0x452;886;1018;0x376;0x3fa
3;8;21;163;171;1458;955;1616;0x5b2;0x3bb;0x650;-758;397;0xfd0a;0x18d
3;8;21;164;172;1458;972;-271;0x5b2;0x3cc;0xfef1;701;301;0x2bd;0x12d
3;8;21;165;173;1458;1281;476;0x5b2;0x501;0x1dc;-1572;1526;0xf9dc;0x5f6
3;8;21;166;174;1458;1596;1057;0x5b2;0x63c;0x421;-676;-223;0xfd5c;0xff21
3;8;21;167;175;1458;-986;1083;0x5b2;0xfc26;0x43b;97;-651;0x61;0xfd75
3;8;20;176;184;-829;260;-1582;0xfcc3;0x104;0xf9d2;-1322;-1367;0xfad6;0xfaa9
3;8;20;177;185;-829;-1326;304;0xfcc3;0xfad2;0x130;-1022;1441;0xfc02;0x5a1
3;8;20;178;186;-829;177;-930;0xfcc3;0xb1;0xfc5e;-753;355;0xfd0f;0x163
3;8;20;179;187;-829;316;1559;0xfcc3;0x13c;0x617;-1454;1105;0xfa52;0x451
3;8;20;180;188;-829;-712;1426;0xfcc3;0xfd38;0x592;714;824;0x2ca;0x338
3;8;20;181;189;-829;-723;898;0xfcc3;0xfd2d;0x382;175;659;0xaf;0x293
3;8;20;182;190;-829;756;881;0xfcc3;0x2f4;0x371;1637;1244;0x665;0x4dc
3;8;20;183;191;-829;821;1281;0xfcc3;0x335;0x501;-1227;-349;0xfb35;0xfea3
3;8;19;192;200;383;640;-834;0x17f;0x280;0xfcbe;-194;1542;0xff3e;0x606
3;8;19;193;201;383;1516;1165;0x17f;0x5ec;0x48d;-648;1248;0xfd78;0x4e0
3;8;19;194;202;383;-612;-1083;0x17f;0xfd9c;0xfbc5;1634;565;0x662;0x235
3;8;19;195;203;383;-267;-326;0x17f;0xfef5;0xfeba;-593;-530;0xfdaf;0xfdee
3;8;19;196;204;383;935;1416;0x17f;0x3a7;0x588;-978;879;0xfc2e;0x36f
3;8;19;197;205;383;451;-1252;0x17f;0x1c3;0xfb1c;-801;-233;0xfcdf;0xff17
3;8;19;198;206;383;-268;-1225;0x17f;0xfef4;0xfb37;-1493;-1036;0xfa2b;0xfbf4
3;8;19;199;207;383;497;1458;0x17f;0x1f1;0x5b2;-1374;282;0xfaa2;0x11a
3;8;18;208;216;264;1324;-1017;0x108;0x52c;0xfc07;307;1319;0x133;0x527
3;8;18;209;217;264;-344;-193;0x108;0xfea8;0xff3f;-537;-880;0xfde7;0xfc90
3;8;18;210;218;264;-1264;242;0x108;0xfb10;0xf2;-1022;-840;0xfc02;0xfcb8
3;8;18;211;219;264;-229;-45;0x108;0xff1b;0xffd3;-274;30;0xfeee;0x1e
3;8;18;212;220;264;344;-529;0x108;0x158;0xfdef;-185;-468;0xff47;0xfe2c
3;8;18;213;221;264;18;-31;0x108;0x12;0xffe1;-13;969;0xfff3;0x3c9
3;8;18;214;222;264;1403;183;0x108;0x57b;0xb7;1586;959;0x632;0x3bf
3;8;18;215;223;264;1408;86;0x108;0x580;0x56;1494;870;0x5d6;0x366
3;8;17;224;232;-1325;-385;38;0xfad3;0xfe7f;0x26;-347;-238;0xfea5;0xff12
3;8;17;225;233;-1325;-1664;1480;0xfad3;0xf980;0x5c8;-184;49;0xff48;0x31
3;8;17;226;234;-1325;-430;-572;0xfad3;0xfe52;0xfdc4;-1002;-1258;0xfc16;0xfb16
3;8;17;227;235;-1325;1485;207;0xfad3;0x5cd;0xcf;-1637;-1335;0xf99b;0xfac9
3;8;17;228;236;-1325;978;868;0xfad3;0x3d2;0x364;-1483;479;0xfa35;0x1df
3;8;17;229;237;-1325;966;-1066;0xfad3;0x3c6;0xfbd6;-100;1222;0xff9c;0x4c6
3;8;17;230;238;-1325;-799;-506;0xfad3;0xfce1;0xfe06;-1305;1236;0xfae7;0x4d4
3;8;17;231;239;-1325;-211;681;0xfad3;0xff2d;0x2a9;470;-1100;0x1d6;0xfbb4
3;8;16;240;248;573;-513;-533;0x23d;0xfdff;0xfdeb;-1046;738;0xfbea;0x2e2
3;8;16;241;249;573;-916;1606;0x23d;0xfc6c;0x646;690;816;0x2b2;0x330
3;8;16;242;250;573;-570;360;0x23d;0xfdc6;0x168;-210;-1027;0xff2e;0xfbfd
3;8;16;243;251;573;350;1553;0x23d;0x15e;0x611;-1426;-115;0xfa6e;0xff8d
3;8;16;244;252;573;-520;-892;0x23d;0xfdf8;0xfc84;-1412;-255;0xfa7c;0xff01
3;8;16;245;253;573;-80;-469;0x23d;0xffb0;0xfe2b;-549;1371;0xfddb;0x55b
3;8;16;246;254;573;-1193;-1388;0x23d;0xfb57;0xfa94;748;-1127;0x2ec;0xfb99
3;8;16;247;255;573;-948;192;0x23d;0xfc4c;0xc0;-756;1211;0xfd0c;0x4bb
4;16;15;0;16;1468;1470;1280;0x5bc;0x5be;0x500;-579;1160;0xfdbd;0x488
4;16;15;1;17;1468;-803;1094;0x5bc;0xfcdd;0x446;291;-193;0x123;0xff3f
4;16;15;2;18;1468;251;763;0x5bc;0xfb;0x2fb;1014;-1549;0x3f6;0xf9f3
4;16;15;3;19;1468;283;528;0x5bc;0x11b;0x210;811;1658;0x32b;0x67a
4;16;15;4;20;1468;-1348;606;0x5bc;0xfabc;0x25e;-742;-541;0xfd1a;0xfde3
4;16;15;5;21;1468;-550;1533;0x5bc;0xfdda;0x5fd;983;1650;0x3d7;0x672
4;16;15;6;22;1468;354;1175;0x5bc;0x162;0x497;1529;-1333;0x5f9;0xfacb
4;16;15;7;23;1468;972;-837;0x5bc;0x3cc;0xfcbb;135;707;0x87;0x2c3
4;16;15;8;24;1468;1621;1240;0x5bc;0x655;0x4d8;-468;574;0xfe2c;0x23e
4;16;15;9;25;1468;-566;-1071;0x5bc;0xfdca;0xfbd1;-1637;455;0xf99b;0x1c7
